('2016-07', 2.063280508261112e+16)
('2016-08', 1.9618904264539485e+17)
('2016-09', 1.4332876916243355e+17)
('2016-10', 1.5865195583290496e+17)
('2016-11', 4.801691262926396e+16)
('2016-12', 4.729141902606176e+16)
('2017-01', 2.2288209415569926e+17)
('2017-02', 2.9635022578531514e+17)
('2017-03', 7.627431369073245e+17)
('2017-04', 7.597696263361242e+17)
('2017-05', 2.537550360742144e+18)
('2017-06', 8.48473721974834e+18)
('2017-07', 1.5428913607575368e+19)
('2017-08', 2.1190951337095545e+19)
('2017-09', 3.5209484000506515e+19)
('2017-10', 1.9315827338369106e+19)
('2017-11', 2.1735774408907756e+19)
('2017-12', 3.71220160999023e+19)
('2018-01', 5.9933946060634235e+19)
('2018-02', 5.236850173192654e+19)
('2018-03', 4.6463481099337695e+19)
('2018-04', 3.591587892403712e+19)
('2018-05', 3.905032756298695e+19)
('2018-06', 3.0275248649379586e+19)
('2018-07', 3.0824263754530517e+19)
('2018-08', 2.909187645329747e+19)
('2018-09', 2.209437471422559e+19)
('2018-10', 2.1130565931230896e+19)
('2018-11', 1.8620274825326387e+19)
('2018-12', 1.3620011057160407e+19)
('2019-01', 1.3137600075610518e+19)
('2019-02', 1.1756435468862261e+19)
('2019-03', 9.836799392703676e+18)
('2019-04', 1.0804985331217793e+19)
('2019-05', 1.3112416969283547e+19)
('2019-06', 1.3056446633325271e+19)
